sexo,edad,estatura,Gr_Sang
Hombre,19,1.79,O
Mujer,20,NA,B
Hombre,25,1.98,O
Hombre,25,NA,B
Hombre,18,1.88,AB
Mujer,25,1.46,A
Hombre,30,1.77,B
Mujer,20,1.65,AB
Mujer,22,1.94,AB
Mujer,25,1.71,A
Mujer,27,1.47,AB
Mujer,18,1.96,B
Mujer,30,1.83,A
Hombre,18,1.82,AB
Hombre,27,1.76,O
Hombre,29,1.72,B
Hombre,23,1.67,AB
Mujer,25,1.9,A
Hombre,18,NA,A
Hombre,28,1.65,B
Mujer,20,1.83,B
Mujer,19,1.8,B
Hombre,22,1.75,AB
Hombre,28,1.52,A
Hombre,27,NA,O
Hombre,20,1.51,B
Hombre,27,1.74,B
Hombre,28,1.54,B
Mujer,25,1.7,AB
Mujer,25,1.56,A
Mujer,27,1.46,O
Hombre,27,1.54,AB
Hombre,19,1.47,O
Mujer,19,1.89,B
Mujer,30,1.82,A
Mujer,27,1.64,AB
Mujer,23,1.67,A
Mujer,25,1.67,A
Mujer,28,1.52,B
Mujer,18,1.54,AB
Hombre,21,NA,AB
Hombre,20,1.85,AB
Hombre,27,1.51,AB
Mujer,21,1.92,AB
Hombre,23,1.46,AB
Mujer,20,NA,AB
Mujer,26,1.73,O
Mujer,22,1.41,A
Mujer,28,1.81,AB
Hombre,18,1.72,AB
Mujer,24,1.45,B
Mujer,23,1.83,A
Mujer,24,1.6,A
Mujer,29,NA,A
Mujer,29,NA,AB
Mujer,21,1.57,B
Hombre,30,1.99,AB
Mujer,25,NA,B
Mujer,23,1.66,O
Mujer,22,1.57,AB
Mujer,28,NA,B
Hombre,22,1.87,AB
Hombre,24,1.98,O
Mujer,23,1.52,O
Hombre,27,1.9,AB
Mujer,24,1.82,B
Hombre,21,1.42,AB
Mujer,19,1.92,B
Hombre,24,1.71,O
Mujer,20,1.74,A
Mujer,29,1.98,AB
Mujer,29,1.85,B
Mujer,27,1.9,AB
Hombre,19,1.46,O
Hombre,28,1.81,A
Mujer,27,1.74,A
Mujer,27,1.65,B
Hombre,24,1.8,B
Hombre,27,1.95,AB
Mujer,25,1.68,B
Mujer,26,1.77,AB
Mujer,24,1.61,AB
Hombre,26,NA,O
Mujer,24,1.73,B
Hombre,22,1.6,AB
Mujer,20,1.56,B
Hombre,18,1.47,A
Hombre,25,1.81,AB
Mujer,25,1.45,AB
Hombre,18,1.87,B
Hombre,30,1.96,AB
Mujer,22,1.71,B
Hombre,21,1.66,B
Mujer,23,NA,O
Hombre,19,1.45,B
Mujer,22,1.49,A
Hombre,22,1.72,A
Mujer,30,1.83,AB
Mujer,27,1.6,B
Mujer,24,1.84,AB
Mujer,22,1.73,A
Hombre,25,1.49,B
Hombre,22,1.82,B
Mujer,19,1.91,O
Hombre,30,1.74,B
Hombre,19,1.64,AB
Hombre,27,1.95,AB
Hombre,18,1.66,O
Hombre,20,1.98,AB
Mujer,28,1.41,O
Hombre,29,1.56,A
Mujer,26,1.81,A
Mujer,20,1.77,B
Mujer,30,2.0,A
Mujer,18,NA,B
Hombre,23,1.41,B
Mujer,29,1.83,B
Mujer,29,1.61,B
Mujer,29,1.62,AB
Hombre,25,1.49,AB
Mujer,20,1.72,AB
Hombre,21,NA,AB
Mujer,29,1.93,AB
Mujer,29,1.78,B
Hombre,28,1.86,A
Hombre,23,1.91,AB
Mujer,21,1.46,A
Mujer,27,1.57,A
Hombre,26,1.51,B
Mujer,26,1.47,B
Mujer,20,1.61,AB
Mujer,30,1.49,B
Hombre,27,1.73,AB
Mujer,23,1.91,O
Hombre,19,NA,AB
Hombre,26,1.73,O
Mujer,28,1.84,A
Hombre,28,1.55,B
Mujer,19,1.83,AB
Mujer,24,NA,A
Mujer,29,1.59,O
Hombre,28,1.83,AB
Mujer,24,1.66,B
Mujer,20,1.84,A
Hombre,19,1.53,A
Mujer,22,NA,O
Hombre,24,1.86,AB
Hombre,26,1.99,AB
Hombre,21,1.53,AB
Mujer,19,1.47,O
Mujer,24,1.82,AB
Hombre,25,1.83,AB
Hombre,27,1.58,O
Hombre,18,1.7,A
Hombre,18,1.92,A
Hombre,20,1.44,AB
Hombre,21,1.63,AB
Mujer,30,1.68,A
Hombre,30,1.76,A
Mujer,19,1.81,A
Mujer,24,NA,AB
Hombre,27,1.68,AB
Mujer,26,1.91,B
Mujer,19,1.59,B
Hombre,24,NA,O
Hombre,25,NA,O
Mujer,28,1.92,A
Hombre,19,1.97,B
Hombre,28,NA,O
Mujer,21,1.93,AB
Mujer,18,1.78,AB
Mujer,25,1.65,AB
Mujer,25,1.73,B
Mujer,21,NA,AB
Hombre,24,1.67,O
Hombre,30,NA,A
Mujer,19,NA,AB
Mujer,25,1.48,A
Mujer,26,1.89,B
Mujer,25,1.87,B
Hombre,19,NA,B
Mujer,27,NA,AB
Hombre,28,NA,A
Mujer,25,1.76,B
Hombre,27,1.47,B
Mujer,21,1.7,A
Hombre,23,1.89,B
Mujer,28,1.76,AB
Mujer,18,1.67,B
Mujer,25,1.55,A
Mujer,19,1.67,AB
Mujer,30,1.44,B
Hombre,24,1.82,A
Mujer,18,1.85,A
Mujer,20,NA,AB
Mujer,25,NA,A
Mujer,29,NA,B
Mujer,27,1.59,B
Mujer,24,1.41,AB
Mujer,21,1.43,O
Hombre,18,1.79,B
Hombre,23,1.73,AB
Mujer,23,1.66,B
Hombre,26,1.48,AB
Mujer,21,1.49,O
Hombre,23,1.81,A
Mujer,21,1.51,O
Hombre,29,NA,AB
Hombre,21,1.82,A
Hombre,18,1.52,AB
Mujer,22,1.59,O
Hombre,29,1.77,AB
Hombre,18,1.92,AB
Mujer,20,1.64,AB
Mujer,26,1.72,AB
Hombre,28,1.54,B
Hombre,27,NA,O
Mujer,22,1.53,B
Hombre,29,1.66,A
Mujer,18,1.44,AB
Mujer,27,1.57,B
Mujer,18,1.67,O
Mujer,25,1.55,AB
Hombre,18,1.68,A
Mujer,22,1.88,A
Hombre,19,1.49,AB
Mujer,25,1.73,O
Hombre,27,1.63,B
Hombre,29,1.82,AB
Mujer,25,1.85,O
Hombre,21,1.57,B
Mujer,26,NA,AB
Mujer,27,1.41,A
Hombre,22,1.73,AB
Mujer,21,1.88,AB
Mujer,25,1.77,B
Mujer,25,1.95,O
Mujer,19,1.89,B
Hombre,22,1.63,B
Mujer,19,1.81,AB
Hombre,21,1.9,A
Mujer,23,1.48,AB
Mujer,18,1.65,B
Hombre,20,1.94,AB
Mujer,29,1.68,AB
Mujer,19,1.43,B
Mujer,24,NA,B
Hombre,24,1.55,B
Hombre,24,NA,AB
Mujer,21,1.73,A
Hombre,22,1.85,A
Mujer,23,1.84,O
Mujer,19,1.64,AB
Hombre,22,1.43,O
Hombre,20,2.0,B
Mujer,27,NA,B
Hombre,26,NA,B
Mujer,24,1.74,B
Mujer,24,1.92,O
Mujer,20,1.93,AB
Hombre,23,1.9,B
Hombre,21,NA,AB
Mujer,30,1.78,B
Hombre,28,1.92,A
Mujer,18,1.99,B
Hombre,26,1.77,A
Hombre,22,NA,B
Hombre,26,1.93,O
Hombre,21,1.8,AB
Mujer,23,1.91,A
Mujer,22,1.96,O
Mujer,28,1.94,O
Mujer,29,NA,B
Hombre,29,1.96,B
Hombre,19,NA,B
Hombre,28,NA,AB
Mujer,24,NA,AB
Mujer,20,1.45,B
Hombre,19,1.66,A
Hombre,22,1.66,A
Hombre,18,1.9,O
Hombre,27,1.81,B
Hombre,30,1.72,A
Mujer,20,1.49,A
Hombre,28,1.93,O
Mujer,30,1.9,O
Hombre,22,1.83,AB
Hombre,22,1.85,A
Mujer,25,1.82,A
Mujer,24,1.51,A
Hombre,20,1.99,A
Mujer,30,NA,AB
Hombre,19,1.79,O
Mujer,19,1.95,O
Hombre,22,2.0,A
Hombre,19,1.8,AB
Mujer,28,1.52,O
Mujer,21,NA,O
Hombre,18,NA,B
Hombre,28,1.81,O
Mujer,21,1.51,B
Mujer,22,1.94,A
Mujer,30,1.5,AB
Hombre,21,1.56,O
Hombre,20,1.78,A
Hombre,27,NA,B
Mujer,30,1.92,A
Hombre,19,1.71,B
Mujer,27,1.86,A
Mujer,27,1.75,AB
Mujer,23,1.67,AB
Mujer,25,1.57,B
Mujer,29,1.46,AB
Hombre,27,1.83,A
Mujer,24,1.66,B
Hombre,19,1.54,A
Hombre,26,1.59,B
Hombre,23,1.73,AB
Mujer,24,1.54,O
Mujer,23,1.91,B
Mujer,29,1.62,O
Hombre,18,1.78,O
Hombre,23,1.82,B
Hombre,20,1.55,AB
Mujer,22,1.62,AB
Mujer,21,NA,B
Hombre,28,1.52,AB
Hombre,24,1.65,A
Mujer,24,1.97,AB
Mujer,24,1.98,AB
Mujer,26,1.59,B
Hombre,24,NA,B
Mujer,26,1.71,B
Mujer,19,1.77,B
Mujer,20,1.63,A
Mujer,19,1.41,B
Hombre,29,1.71,B
Mujer,22,1.97,B
Mujer,25,1.82,AB
Hombre,21,NA,AB
Hombre,22,1.68,B
Hombre,18,1.44,AB
Hombre,29,1.76,B
Mujer,30,1.97,B
Mujer,28,1.77,B
Mujer,20,1.61,B
Mujer,18,1.85,B
Hombre,27,1.56,B
Mujer,29,1.81,AB
Hombre,25,1.45,A
Mujer,26,1.47,A
Mujer,21,1.64,AB
Mujer,28,NA,A
Hombre,18,1.92,B
Hombre,18,NA,B
Mujer,21,1.71,B
Hombre,19,1.43,B
Mujer,22,NA,A
Hombre,21,1.72,AB
Hombre,27,1.76,A
Hombre,19,1.57,AB
Hombre,25,1.75,A
Hombre,19,1.91,AB
Mujer,22,1.52,B
Hombre,24,1.54,AB
Mujer,27,1.63,AB
Mujer,20,NA,B
Mujer,18,NA,O
Hombre,24,1.91,B
Hombre,25,1.45,B
Hombre,27,1.78,O
Hombre,24,1.89,O
Mujer,30,1.92,B
Mujer,27,NA,AB
Mujer,30,1.7,AB
Mujer,25,NA,B
Mujer,30,1.54,AB
Mujer,29,NA,B
Mujer,25,1.43,O
Hombre,30,1.7,AB
Hombre,28,1.83,A
Hombre,22,1.94,AB
Mujer,22,1.96,A
Hombre,22,1.8,O
Hombre,21,1.82,B
Mujer,19,1.49,A
Mujer,18,NA,O
Mujer,18,1.56,AB
Mujer,20,1.84,O
Hombre,28,1.73,AB
Hombre,27,NA,B
Hombre,29,1.94,B
Mujer,29,1.92,O
Mujer,19,1.98,O
Mujer,30,1.78,B
Hombre,19,1.69,A
Mujer,29,1.45,A
Mujer,30,1.64,AB
Mujer,23,1.56,A
Mujer,20,1.62,AB
Hombre,18,1.72,B
Mujer,23,1.67,A
Mujer,20,1.88,O
Hombre,26,1.62,A
Mujer,23,1.53,AB
Hombre,21,NA,B
Mujer,26,1.9,B
Mujer,19,1.69,O
Hombre,21,NA,A
Mujer,30,1.92,A
Hombre,21,1.43,O
Mujer,28,1.51,B
Mujer,21,1.85,A
Mujer,29,1.96,O
Hombre,20,1.67,A
Hombre,29,1.74,A
Hombre,26,1.43,O
Mujer,20,1.71,AB
Mujer,21,1.93,A
Mujer,18,1.65,AB
Mujer,19,1.44,A
Hombre,28,1.47,O
Mujer,23,1.88,O
Mujer,26,1.59,O
Mujer,20,1.78,B
Mujer,28,1.73,B
Mujer,23,1.42,A
Hombre,21,1.57,O
Hombre,28,1.59,A
Mujer,26,NA,A
Hombre,27,1.67,B
Hombre,21,1.93,B
Hombre,25,1.71,A
Mujer,25,1.82,AB
Mujer,24,1.73,A
Mujer,20,1.86,B
Hombre,19,NA,B
Hombre,24,1.48,B
Hombre,29,1.91,B
Hombre,22,1.72,O
Mujer,30,1.43,AB
Mujer,23,1.45,A
Hombre,29,1.67,O
Mujer,30,1.93,A
Mujer,29,1.82,O
Hombre,26,1.93,O
Mujer,30,1.99,B
Mujer,24,1.55,AB
Hombre,20,1.44,AB
Hombre,27,1.85,B
Hombre,18,1.93,AB
Hombre,28,1.65,B
Hombre,29,1.65,A
Hombre,21,1.72,A
Hombre,26,1.41,O
Hombre,21,1.99,O
Hombre,18,1.67,B
Mujer,20,1.89,AB
Hombre,30,1.41,AB
Hombre,26,1.76,AB
Hombre,18,1.53,B
Hombre,26,1.97,B
Hombre,24,1.91,A
Mujer,26,1.68,A
Mujer,21,1.45,AB
Mujer,26,1.41,A
Hombre,21,1.52,B
Hombre,29,1.72,AB
Mujer,26,1.54,O
Mujer,18,1.41,A
Hombre,20,1.88,AB
Mujer,25,1.89,B
Hombre,22,1.83,B
Hombre,29,1.81,O
Mujer,30,1.43,B
Mujer,27,1.58,A
Mujer,28,1.84,AB
Hombre,19,1.89,B
Hombre,27,1.61,O
Mujer,29,1.81,AB
Hombre,30,1.74,B
Hombre,22,1.43,B
Hombre,30,1.59,AB
Mujer,28,1.61,B
Mujer,18,1.88,AB
Hombre,23,1.41,O
Hombre,29,1.81,A
Mujer,27,1.59,O
Hombre,21,NA,B
Mujer,27,1.64,A
Mujer,30,1.71,AB
Mujer,25,1.79,O
Mujer,27,1.76,A
Hombre,20,1.71,O
Hombre,21,1.61,O
Hombre,23,1.94,A
Mujer,25,1.53,O
Mujer,29,1.91,AB
Mujer,21,1.85,AB
Hombre,18,1.98,B
Mujer,29,1.47,AB
Hombre,30,1.55,A
Hombre,19,1.61,B
Mujer,18,1.98,AB
Mujer,23,1.58,O
Hombre,26,NA,B
Hombre,25,NA,A
Mujer,30,1.62,A
Mujer,18,1.96,A
Hombre,30,1.82,B
Mujer,28,1.49,A
Mujer,23,1.45,A
Hombre,28,NA,AB
Hombre,24,2.0,A
Hombre,21,1.48,O
Mujer,26,1.52,AB
Hombre,18,1.89,B
Hombre,25,1.43,O
Hombre,23,1.94,AB
Mujer,27,1.48,AB
Mujer,30,1.49,O
Mujer,27,1.74,A
Mujer,28,1.54,AB
Hombre,28,1.9,B
Hombre,29,1.77,AB
Hombre,22,NA,B
Hombre,25,1.5,B
Mujer,30,1.71,AB
Hombre,20,1.73,AB
Hombre,24,1.75,AB
Hombre,23,1.5,O
Mujer,22,1.43,B
Mujer,30,1.86,AB
Hombre,24,1.45,O
Hombre,22,1.62,B
Mujer,20,1.72,O
Mujer,29,1.91,A
Hombre,27,1.69,AB
Hombre,27,1.93,O
Hombre,18,1.76,B
Mujer,18,NA,AB
Mujer,22,1.6,A
Mujer,24,1.58,A
Hombre,30,NA,B
Mujer,24,NA,B
Mujer,19,NA,AB
Mujer,21,1.86,B
Mujer,24,1.9,B
Hombre,18,1.73,AB
Hombre,29,1.41,O
Hombre,25,1.71,O
Hombre,30,1.48,AB
Mujer,29,1.75,A
Mujer,22,1.52,O
Mujer,25,1.43,B
Mujer,28,1.84,O
Hombre,23,1.47,A
Mujer,20,1.57,AB
Hombre,24,1.83,AB
Mujer,21,2.0,AB
Mujer,23,1.52,B
Mujer,21,1.43,O
Hombre,21,1.8,A
Mujer,18,1.87,AB
Hombre,30,1.78,B
Mujer,20,1.57,A
Mujer,25,1.82,AB
Mujer,20,1.76,A
Mujer,29,1.49,O
Hombre,21,1.78,A
Hombre,28,1.59,A
Mujer,20,1.81,B
Hombre,27,1.95,A
Hombre,27,1.74,B
Mujer,25,1.61,A
Mujer,20,1.82,O
Hombre,24,1.9,O
Hombre,27,1.7,A
Mujer,18,1.9,O
Hombre,28,1.61,AB
Mujer,24,1.55,A
Hombre,23,NA,A
Mujer,22,1.63,B
Mujer,21,1.64,B
Mujer,21,1.83,O
Hombre,25,1.66,O
Mujer,29,1.67,AB
Hombre,24,1.83,AB
Hombre,23,1.72,O
Hombre,23,NA,A
Hombre,22,1.75,O
Hombre,28,1.44,O
Mujer,20,1.72,A
Mujer,28,1.77,B
Mujer,20,1.85,AB
Mujer,19,1.6,AB
Hombre,19,1.71,AB
Mujer,24,NA,A
Hombre,29,1.52,AB
Mujer,21,NA,AB
Mujer,24,1.49,AB
Mujer,29,NA,A
Mujer,25,1.66,B
Hombre,29,1.65,B
Mujer,23,1.82,AB
Hombre,25,1.62,B
Mujer,22,1.83,A
Mujer,28,1.55,A
Hombre,20,1.67,AB
Hombre,24,NA,B
Hombre,28,1.51,AB
Hombre,28,1.83,O
Mujer,21,1.73,O
Mujer,27,1.95,AB
Hombre,27,1.48,B
Hombre,27,NA,A
Mujer,27,NA,B
Mujer,28,1.77,A
Mujer,28,1.62,AB
Mujer,29,1.91,B
Mujer,21,1.67,B
Mujer,27,1.71,AB
Mujer,19,1.47,AB
Hombre,18,NA,O
Hombre,26,1.76,B
Hombre,21,1.7,O
Hombre,21,NA,A
Mujer,29,1.84,AB
Mujer,29,1.56,B
Mujer,23,NA,A
Hombre,27,NA,AB
Mujer,29,1.5,A
Hombre,29,1.69,O
Hombre,21,1.96,AB
Hombre,18,1.91,AB
Mujer,22,1.46,A
Hombre,19,NA,B
Mujer,30,1.45,O
Mujer,22,1.72,B
Hombre,18,1.43,A
Mujer,18,1.91,B
Mujer,28,NA,B
Hombre,23,1.94,O
Hombre,24,1.94,B
Mujer,21,1.76,AB
Hombre,18,1.76,AB
Mujer,27,1.98,A
Mujer,26,1.78,AB
Mujer,26,1.99,B
Mujer,27,1.99,AB
Hombre,20,1.51,O
Hombre,18,1.99,AB
Hombre,28,1.77,A
Hombre,26,1.86,A
Hombre,24,1.58,A
Mujer,27,1.88,B
Mujer,25,1.7,AB
Mujer,19,1.81,O
Hombre,21,1.55,AB
Hombre,24,1.72,AB
Mujer,27,1.53,O
Mujer,25,1.95,A
Mujer,23,1.47,AB
Mujer,28,NA,AB
Mujer,20,NA,A
Hombre,23,1.86,AB
Mujer,26,1.63,AB
Hombre,24,1.8,AB
Hombre,28,1.68,A
Mujer,28,1.81,B
Mujer,19,1.53,B
Mujer,19,1.48,AB
Mujer,28,1.71,O
Hombre,20,NA,B
Hombre,28,1.94,A
Hombre,29,1.59,B
Hombre,27,1.71,O
Mujer,26,1.57,A
Mujer,30,1.67,B
Hombre,26,1.55,O
Hombre,20,2.0,O
Hombre,23,1.66,O
Mujer,29,1.79,O
Mujer,24,1.9,AB
Mujer,22,1.64,O
Hombre,26,1.89,B
Mujer,25,1.65,B
Hombre,30,NA,B
Mujer,26,1.93,O
Mujer,28,1.59,O
Hombre,25,1.45,B
Mujer,22,1.66,B
Hombre,24,1.43,B
Mujer,25,1.93,B
Mujer,21,NA,B
Hombre,23,NA,AB
Hombre,25,1.6,A
Mujer,25,1.66,AB
Mujer,23,1.72,B
Mujer,25,1.78,AB
Hombre,22,1.53,AB
Hombre,26,1.87,B
Hombre,18,1.92,B
Hombre,27,1.46,B
Hombre,21,1.79,B
Hombre,29,1.54,AB
Mujer,24,1.63,B
Hombre,23,1.72,B
Hombre,28,1.93,O
Hombre,20,1.68,B
Hombre,21,1.98,AB
Mujer,28,1.87,O
Hombre,30,1.57,AB
Mujer,28,1.89,B
Hombre,18,2.0,A
Mujer,30,1.82,AB
Hombre,20,1.89,O
Hombre,21,1.59,B
Hombre,22,NA,A
Mujer,29,1.9,O
Mujer,21,1.92,AB
Mujer,29,1.69,A
Hombre,23,1.61,O
Mujer,20,1.43,B
Mujer,24,1.64,A
Hombre,20,NA,AB
Mujer,23,1.52,B
Hombre,22,1.82,A
Hombre,29,NA,A
Mujer,26,1.44,A
